Date,Open,High,Low,Close,Adj Close,Volume
2020-04-01,80.5,84.5,80.5,84.0,84.0,319
2020-04-02,84.0,84.0,84.0,84.0,84.0,100
2020-04-03,80.5,82.0,80.0,82.0,82.0,40
2020-04-06,84.5,86.0,84.0,86.0,86.0,196
2020-04-07,86.0,88.5,85.0,88.0,88.0,367
2020-04-08,87.5,87.5,84.5,84.5,84.5,108
2020-04-09,87.5,90.5,86.5,87.0,87.0,229
2020-04-14,88.0,88.5,88.0,88.5,88.5,85
2020-04-15,89.0,89.0,89.0,89.0,89.0,225
2020-04-16,89.5,89.5,88.5,88.5,88.5,360
2020-04-17,88.5,90.0,88.5,90.0,90.0,121
2020-04-20,81.5,88.5,81.0,87.5,87.5,327
2020-04-21,84.0,84.0,82.5,82.5,82.5,20
2020-04-22,84.0,84.5,83.5,84.5,84.5,66
2020-04-23,85.0,85.0,85.0,85.0,85.0,32
2020-04-24,88.0,88.0,88.0,88.0,88.0,11
2020-04-27,88.0,89.0,88.0,89.0,89.0,124
2020-04-28,89.5,90.0,89.0,89.0,89.0,259
2020-04-29,90.0,91.5,89.5,89.5,89.5,267
2020-04-30,90.0,94.0,88.0,93.0,93.0,449
2020-05-04,89.0,90.0,85.0,89.0,89.0,851
2020-05-05,88.5,90.0,88.5,90.0,90.0,399
2020-05-06,93.0,93.0,89.5,90.0,90.0,579
2020-05-07,90.0,92.5,90.0,91.5,91.5,89
2020-05-08,95.0,95.0,92.0,92.0,92.0,40
2020-05-11,91.5,97.5,90.0,95.0,95.0,350
2020-05-12,95.5,96.5,95.0,96.5,96.5,170
2020-05-13,97.0,97.0,96.5,97.0,97.0,115
2020-05-14,97.0,97.0,95.0,95.0,95.0,97
2020-05-15,97.0,97.0,97.0,97.0,97.0,9
2020-05-18,97.0,100.0,95.5,95.5,95.5,200
2020-05-19,98.0,100.0,96.5,96.5,96.5,200
2020-05-20,97.0,97.0,97.0,97.0,97.0,79
2020-05-21,97.5,98.5,97.0,98.5,98.5,65
2020-05-22,99.0,99.0,97.0,97.0,97.0,162
2020-05-25,98.5,99.5,98.5,99.5,99.5,416
2020-05-26,99.5,99.5,98.0,98.5,98.5,451
2020-05-27,99.0,99.0,98.5,99.0,99.0,317
2020-05-28,99.5,99.5,98.0,99.5,99.5,256
2020-05-29,99.5,100.0,99.0,99.5,99.5,122
2020-06-01,102.0,102.0,100.0,100.0,100.0,505
2020-06-02,100.0,100.0,99.0,99.0,99.0,241
2020-06-03,100.0,100.0,98.0,99.0,99.0,402
2020-06-04,99.5,99.5,99.0,99.0,99.0,130
2020-06-05,98.0,102.0,98.0,100.0,100.0,834
2020-06-08,101.0,101.0,96.5,97.0,97.0,800
2020-06-09,98.5,98.5,98.5,98.5,98.5,49
2020-06-10,100.0,100.0,97.0,97.0,97.0,42
2020-06-11,97.0,97.0,96.5,96.5,96.5,554
2020-06-12,96.5,96.5,95.0,95.5,95.5,702
2020-06-15,95.0,95.0,94.0,94.5,94.5,293
2020-06-16,95.0,95.0,93.5,95.0,95.0,78
2020-06-17,97.0,98.0,95.0,95.0,95.0,181
2020-06-18,95.0,95.0,95.0,95.0,95.0,25
2020-06-19,94.0,94.0,93.0,93.0,93.0,164
2020-06-22,93.0,94.0,93.0,94.0,94.0,47
2020-06-23,94.5,94.5,93.0,94.5,94.5,58
2020-06-24,94.0,94.0,93.0,93.0,93.0,20
2020-06-25,94.0,94.0,94.0,94.0,94.0,50
2020-06-26,93.0,93.0,91.5,93.0,93.0,365
2020-06-29,94.5,94.5,93.5,94.0,94.0,126
2020-06-30,94.0,94.0,94.0,94.0,94.0,0
2020-07-01,94.5,94.5,94.5,94.5,94.5,111
2020-07-02,94.5,94.5,90.5,94.5,94.5,218
2020-07-03,94.5,94.5,93.5,94.5,94.5,180
2020-07-06,94.5,94.5,94.5,94.5,94.5,26
2020-07-07,94.0,94.5,93.5,93.5,93.5,370
2020-07-08,93.5,93.5,85.5,88.0,88.0,1067
2020-07-09,88.5,90.5,88.0,90.0,90.0,644
2020-07-10,91.0,91.0,90.5,90.5,90.5,129
2020-07-13,90.5,92.0,90.5,92.0,92.0,34
2020-07-14,91.5,91.5,88.5,89.5,89.5,229
2020-07-15,92.0,92.0,88.0,88.0,88.0,60
2020-07-16,89.0,91.5,89.0,91.5,91.5,112
2020-07-17,89.5,91.5,89.0,91.5,91.5,316
2020-07-21,89.0,91.0,89.0,91.0,91.0,410
2020-07-22,92.5,93.0,89.5,89.5,89.5,467
2020-07-23,90.0,91.5,90.0,91.5,91.5,76
2020-07-24,90.0,90.0,86.0,90.0,90.0,2529
2020-07-27,92.0,92.0,92.0,92.0,92.0,26
2020-07-28,89.0,89.0,86.0,89.0,89.0,190
2020-07-29,87.0,87.0,87.0,87.0,87.0,1
2020-07-30,87.5,87.5,84.0,84.5,84.5,681
2020-07-31,85.0,87.5,84.5,84.5,84.5,117
2020-08-03,83.5,85.0,83.0,84.0,84.0,385
2020-08-04,83.0,87.0,82.5,84.0,84.0,400
2020-08-05,87.0,87.0,87.0,87.0,87.0,224
2020-08-06,87.0,87.0,87.0,87.0,87.0,0
2020-08-07,84.0,87.5,84.0,87.5,87.5,94
2020-08-10,87.5,87.5,87.0,87.0,87.0,114
2020-08-11,85.5,87.5,85.5,87.5,87.5,78
2020-08-12,87.5,87.5,86.0,87.0,87.0,290
2020-08-13,87.5,87.5,85.0,87.0,87.0,285
2020-08-14,85.5,87.0,85.0,87.0,87.0,454
2020-08-17,87.0,87.0,85.0,86.0,86.0,167
2020-08-18,85.5,87.0,84.0,85.0,85.0,491
2020-08-19,85.0,86.5,85.0,86.0,86.0,152
2020-08-20,85.5,86.5,85.0,86.5,86.5,82
2020-08-21,86.0,87.5,86.0,87.5,87.5,130
2020-08-24,88.5,93.0,88.5,93.0,93.0,417
2020-08-25,93.0,93.0,93.0,93.0,93.0,64
2020-08-26,90.0,93.0,90.0,93.0,93.0,80
2020-08-27,90.0,90.0,90.0,90.0,90.0,25
2020-08-28,90.0,90.0,90.0,90.0,90.0,16
2020-08-31,92.5,93.0,87.5,87.5,87.5,447
2020-09-01,87.5,87.5,87.5,87.5,87.5,32
2020-09-02,88.5,88.5,87.5,88.0,88.0,266
2020-09-03,88.5,88.5,87.5,88.0,88.0,340
2020-09-04,87.5,88.0,86.5,87.0,87.0,329
